Requirement ID	,Requirement Description,Stakeholders
RQ-001,User registration,User
RQ-002,User login,User
RQ-003,Create quiz creation feature,"Product manager, Teachers"
RQ-004,Design user profile page,"Design team, User experience team"
RQ-005,Add quiz sharing options,"Marketing team, Customer support team"
RQ-006,Develop scoring system,"Project management, Business stakeholders"
RQ-007,Enable question creation,"Design team, Teachers"
RQ-008,Implement game hosting,"Product manager, Teachers"
RQ-009,Create leaderboards,"Marketing team, Project stakeholders"
RQ-010,Design user dashboard,"User experience team, Design team"
RQ-011,Add social media integration,"Marketing team, User experience team"
RQ-012,Implement chat feature,"Customer support team, Teachers"
RQ-013,Develop user notifications,"Project stakeholders, Product manager"
RQ-014,Enable quiz commenting,"Marketing team, User feedback"
RQ-015,Create user privacy settings,"Legal department, User experience team"
RQ-016,Implement user reporting,"Compliance team, Project stakeholders"
RQ-017,Develop analytics dashboard,"Project management, Data analysis team"
RQ-018,Add payment integration,"Finance team, Marketing team"
RQ-019,Implement quiz categories,"Marketing team, User feedback"
RQ-020,Design user settings page,"User experience team, Design team"
RQ-021,Enable quiz search feature,"Marketing team, User feedback"
RQ-022,Implement real-time quizzes,"Gamification team, User feedback"
RQ-023,Add timer to quiz questions,"Gamification team, User feedback"
RQ-024,Develop multiplayer mode,"Gamification team, User feedback"
RQ-025,Create game progress tracker,"Gamification team, User analyst"
RQ-026,Implement performance analytics,User feedback
